Hospital Name,Beds Available,Ventilators Available,ICU Available,Location Type,Emergency Department,Pediatric Care,Specialized Department,Ambulance Services,Year of Establishment
Hospital 1,496,68,52,Urban,Yes,No,Oncology,Yes,2012
Hospital 2,254,10,85,Urban,Yes,No,Orthopedics,No,1984
Hospital 3,45,68,67,Rural,No,Yes,Neurology,Yes,1997
Hospital 4,218,56,49,Urban,Yes,Yes,General,Yes,1951
Hospital 5,488,53,14,Urban,No,No,Orthopedics,Yes,1968
Hospital 6,110,89,43,Urban,No,No,Cardiology,No,2022
Hospital 7,237,93,83,Rural,No,Yes,Oncology,No,2002
Hospital 8,378,9,42,Rural,Yes,No,General,Yes,1969
Hospital 9,250,4,80,Rural,No,Yes,General,No,1955
Hospital 10,207,4,11,Rural,Yes,Yes,General,No,2022
Hospital 11,322,65,13,Rural,Yes,Yes,Orthopedics,Yes,1983
Hospital 12,45,44,87,Urban,Yes,Yes,Neurology,Yes,2006
Hospital 13,386,67,39,Urban,Yes,Yes,Neurology,No,1973
Hospital 14,348,30,92,Urban,Yes,Yes,None,No,1984
Hospital 15,414,51,82,Urban,No,No,Orthopedics,Yes,1974
Hospital 16,424,40,11,Rural,Yes,No,None,No,2013
Hospital 17,211,1,42,Urban,No,Yes,None,Yes,1989
Hospital 18,91,83,83,Urban,No,No,Cardiology,Yes,1962
Hospital 19,231,67,82,Urban,No,Yes,Orthopedics,No,1968
Hospital 20,423,95,2,Urban,Yes,No,Oncology,No,1961
Hospital 21,297,41,14,Rural,No,No,Cardiology,No,2010
Hospital 22,67,40,56,Urban,No,Yes,General,Yes,2002
Hospital 23,490,31,28,Urban,No,Yes,Cardiology,Yes,1987
Hospital 24,177,45,12,Rural,No,Yes,None,Yes,1977
Hospital 25,155,30,91,Urban,Yes,No,Neurology,No,1964
Hospital 26,267,38,37,Rural,No,No,Cardiology,Yes,1955
Hospital 27,470,16,73,Urban,Yes,Yes,General,No,1976
Hospital 28,154,85,72,Urban,No,No,None,Yes,1968
Hospital 29,440,70,19,Urban,No,No,Orthopedics,Yes,1998
Hospital 30,204,29,76,Rural,Yes,No,General,No,1952
Hospital 31,77,12,76,Urban,No,Yes,Neurology,No,1961
Hospital 32,121,33,28,Rural,Yes,No,Oncology,Yes,1963
